facility_key,owner_key,phone,program_category,inspection_type,action_code,result_code,facility_name,site_address,city,state,zip,owner_name,nature_of_business,street_number,street_name,street_type,post_directional,program_category_description,inspection_date,inspection_desc,serial_num,action_desc,result_desc,violation_code,violation_desc,inspection_memo,not_masked,sampid,sampsize
125678,111923,5052421718.0,409,,11,3,mission achievement and success,4801 ross pl se,albuquerque,nm,87106,canteen of central nm,,4801,ross,pl,se,non school,2021-02-03 00:00:00,covid response,daaoiasgk,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
99839,48823,7573215000.0,606,,11,3,dollar tree 4752,11201 montgomery blvd ne ste b,albuquerque,nm,87111,dollar tree stores inc,,11201,montgomery,blvd,ne,retail - prepackage only,2020-12-17 00:00:00,covid response,da4ycgi0z,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
6723,5761,,406,,11,3,el sabor de juarez,3527 gibson blvd se ,albuquerque,nm,87106,jesus t. mata/sarah jaramillo,restaurant,3527,gibson,blvd,se,food service establishment,2020-11-25 00:00:00,covid response,daomtmbyu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
102868,1806,5057646488.0,404,,11,3,north domingo baca multigenerational center,7521 carmel av ne,albuquerque,nm,87113,coa - dept of senior affairs,,7521,carmel,av,ne,institutional kitchen,2021-02-23 00:00:00,covid response,da98e4zde,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
116990,104545,5052682422.0,602,,35,3,999 seafood supermarket inc,5315 gibson blvd se,albuquerque,nm,87108,999 seafood supermarket inc,,5315,gibson,blvd,se,meat market,2020-11-04 00:00:00,covid response,da3mkklms,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
106413,91280,,406,,35,3,chipotle mexican grill 1698,8120 san pedro dr ne,albuquerque,nm,87113,chipotle mexican grill of colorado llc,,8120,san pedro,dr,ne,food service establishment,2020-12-16 00:00:00,covid response,dak6myfqf,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
120927,107909,8087839421.0,406,,35,3,chick fil a,210 eubank blvd se,albuquerque,nm,87123,roadrunner hospitalities,,210,eubank,blvd,se,food service establishment,2020-11-23 00:00:00,covid response,darmhbjb5,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
114218,102185,9095106308.0,406,,11,3,applebees,6200 coors blvd nw,albuquerque,nm,87120,apple 64009 llc,,6200,coors,blvd,nw,food service establishment,2020-12-11 00:00:00,covid response,dac0gzt55,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
126625,112429,5053554694.0,406,,35,3,panera 6022,4021 coors blvd nw,albuquerque,nm,87120,"panera, llc",,4021,coors,blvd,nw,food service establishment,2020-12-08 00:00:00,covid response,daww66yhn,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
128272,113446,7576987048.0,601,,35,3,family dollar,110 wyoming blvd se,albuquerque,nm,87123,family dollar store of nm inc #5120,,110,wyoming,blvd,se,retail -grocery,2020-11-19 00:00:00,covid response,da1djqdbe,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
127554,112969,5057125109.0,406,,35,3,franks famous chicken and waffles llc,400 washington st se,albuquerque,nm,87108,lola beavers,,400,washington,st,se,food service establishment,2021-03-01 00:00:00,covid response,dawkexzy5,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
127883,113149,5759106855.0,406,,11,3,los olivos restaurant llc,7900 zuni rd se,albuquerque,nm,87108,leon hernandez,,7900,zuni,rd,se,food service establishment,2020-12-04 00:00:00,covid response,dahblnahi,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
91838,80274,9725375936.0,607,,11,3,circle k 1255,12900 indian school rd ne ,albuquerque,nm,87112,circle k stores inc,convienence store,12900,indian school,rd,ne,retail - self service & prepackage foods,2021-01-15 00:00:00,covid response,daogrwuxm,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
128328,113498,5054809800.0,406,,11,3,135 degrees bbq,1909 bellamah av nw,albuquerque,nm,87104,135 degrees bbq,,1909,bellamah,av,nw,food service establishment,2021-02-22 00:00:00,covid response,damlqlcja,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
90532,82030,5053444212.0,406,,11,3,whataburger 697,4201 osuna rd ne ,albuquerque,nm,87109,whataburger restaurants lp,fast food,4201,osuna,rd,ne,food service establishment,2020-12-04 00:00:00,covid response,dabxdkhy0,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
127955,113185,7573215527.0,606,,11,3,dollar tree #8312,6200 coors blvd nw ste 115-f,albuquerque,nm,87120,dollar tree stores inc,,6200,coors,blvd,nw,retail - prepackage only,2020-11-25 00:00:00,covid response,dakvvzsvl,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
