facility_key,owner_key,phone,program_category,inspection_type,action_code,result_code,facility_name,site_address,city,state,zip,owner_name,nature_of_business,street_number,street_name,street_type,post_directional,program_category_description,inspection_date,inspection_desc,serial_num,action_desc,result_desc,violation_code,violation_desc,inspection_memo,not_masked,sampid,sampsize
118702,106022,,406,,11,3,talking drums african and caribbean grill,1606 central av se,albuquerque,nm,87106,zenith fashions llc,,1606,central,av,se,food service establishment,2020-11-04 00:00:00,covid response,dacqju9eh,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,5
4290,3537,5052667401.0,601,,11,3,smiths 446,6001 lomas blvd ne ,albuquerque,nm,87110,smiths food and drug centers inc,bkry/groc/rest,6001,lomas,blvd,ne,retail -grocery,2020-11-13 00:00:00,covid response,daid6sybp,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,5
78862,21242,5058977096.0,406,,11,3,starbucks coffee 13413,3410 nm 528 nw ,albuquerque,nm,87114,starbucks corp,food service,3410,nm 528,,nw,food service establishment,2021-02-18 00:00:00,covid response,da8xdzrc1,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,5
106413,91280,,406,,11,3,chipotle mexican grill 1698,8120 san pedro dr ne,albuquerque,nm,87113,chipotle mexican grill of colorado llc,,8120,san pedro,dr,ne,food service establishment,2021-01-12 00:00:00,covid response,dasipodig,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,5
120927,107909,8087839421.0,406,,35,3,chick fil a,210 eubank blvd se,albuquerque,nm,87123,roadrunner hospitalities,,210,eubank,blvd,se,food service establishment,2020-11-23 00:00:00,covid response,darmhbjb5,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,5
127072,112677,5055738816.0,405,,11,3,mikes jerky llc,4900 jefferson st ne,albuquerque,nm,87109,mikes jerky,,4900,jefferson,st,ne,food processor,2020-12-11 00:00:00,covid response,daozi3ctb,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,5
127239,112766,5053458866.0,406,,35,3,burger king,5608 4th st nw,albuquerque,nm,87107,m & m brothers,,5608,4th,st,nw,food service establishment,2020-11-25 00:00:00,covid response,daat8ywvd,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,5
124034,110650,5054507897.0,406,,11,3,burgers n more,5500 central av sw,albuquerque,nm,87105,julian torrez,,5500,central,av,sw,food service establishment,2021-02-02 00:00:00,covid response,dayddcrxa,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,5
127286,112805,5053433030.0,406,,11,3,dominos pizza,5920 holly av ne ste b,albuquerque,nm,87113,pecos valley pizza inc,,5920,holly,av,ne,food service establishment,2020-11-24 00:00:00,covid response,dac03p403,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,5
116204,103858,5056952767.0,406,,11,3,blunt bros coffee,4400 central av se,albuquerque,nm,87108,david rodriguez,,4400,central,av,se,food service establishment,2021-02-24 00:00:00,covid response,da38zkuwz,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,5
