CaseID,Duration,B2,B7_a,B7_b,D1A,D1E,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h
1,24665,doing okay,poor,poor,no,yes,yes,no,yes,no,no,no,yes,no
2,721,doing okay,good,good,no,yes,no,no,yes,no,no,no,no,no
3,937,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
4,1066,just getting by,only fair,good,yes,no,no,no,yes,no,no,no,no,no
5,1441,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
6,926,doing okay,only fair,only fair,yes,yes,no,no,yes,no,no,no,no,no
7,1199,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
8,3180,just getting by,good,poor,yes,yes,no,yes,no,yes,yes,no,yes,no
9,1662,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
10,744,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
11,583,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
12,869,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
13,2636,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
14,1527,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
15,1156,living comfortably,only fair,only fair,no,no,yes,no,yes,no,no,no,no,no
16,2032,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
17,1680,just getting by,only fair,good,no,no,no,yes,no,yes,no,no,no,no
18,532,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
19,1715,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
20,931,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
21,790,doing okay,poor,only fair,no,yes,yes,no,no,no,no,no,no,no
22,1886,finding it difficult to get by,good,excellent,no,yes,no,no,no,no,no,no,no,yes
23,1384,just getting by,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
24,1296,doing okay,good,only fair,yes,no,yes,no,no,no,no,no,no,no
25,1017,finding it difficult to get by,only fair,good,no,no,yes,no,no,no,no,no,no,no
26,1447,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
27,1817,doing okay,good,only fair,no,yes,yes,no,no,no,no,no,no,no
28,980,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
29,1503,just getting by,good,poor,no,no,no,no,no,no,no,no,no,yes
30,911,doing okay,good,good,yes,yes,yes,no,yes,no,no,no,no,no
31,1944,living comfortably,only fair,good,yes,no,no,no,yes,no,no,no,no,no
