year,Azerbaijan,China,Ireland,Mali,Thailand,United States,Zimbabwe
1960,64.168,45.191,71.707,29.026,57.059,73.1,54.672
1961,64.403,45.497,71.941,29.21,57.617,73.6,55.141
1962,64.629,46.243,72.147,29.432,58.151,73.5,55.609
1963,64.852,47.486,72.334,29.704,58.653,73.4,56.071
1964,65.074,49.194,72.51,30.033,59.12,73.7,56.521
1965,65.299,51.258,72.68,30.429,59.56,73.8,56.952
1966,65.527,53.506,72.846,30.896,59.987,73.9,57.354
1967,65.753,55.727,73.007,31.424,60.421,74.3,57.725
1968,65.972,57.748,73.163,32.006,60.878,74.1,58.061
1969,66.182,59.484,73.316,32.633,61.364,74.4,58.364
1970,66.376,60.898,73.47,33.296,61.883,74.7,58.629
1971,66.55,62.018,73.626,33.984,62.433,75.0,58.856
1972,66.702,62.955,73.784,34.688,63.006,75.1,59.052
1973,66.833,63.799,73.947,35.399,63.592,75.3,59.231
1974,66.943,64.58,74.117,36.112,64.183,75.9,59.407
1975,67.035,65.316,74.3,36.829,64.77,76.6,59.607
1976,67.112,66.015,74.501,37.554,65.341,76.8,59.857
1977,67.183,66.664,74.72,38.295,65.893,77.2,60.17
1978,67.252,67.259,74.957,39.05,66.429,77.3,60.546
1979,67.328,67.804,75.209,39.813,66.955,77.8,60.977
1980,67.416,68.299,75.469,40.573,67.495,77.4,61.46
1981,67.526,68.742,75.729,41.316,68.079,77.8,61.989
1982,67.656,69.132,75.983,42.032,68.722,78.1,62.528
1983,67.805,69.471,76.225,42.709,69.425,78.1,63.029
1984,67.97,69.766,76.452,43.343,70.169,78.2,63.441
1985,68.142,70.023,76.667,43.937,70.92,78.2,63.701
1986,68.309,70.248,76.874,44.498,71.63,78.2,63.746
1987,68.463,70.45,77.08,45.036,72.256,78.3,63.545
1988,68.598,70.637,77.288,45.552,72.77,78.3,63.084
1989,68.714,70.819,77.498,46.039,73.16,78.5,62.356
1990,68.817,71.004,77.703,46.473,73.433,78.8,61.355
1991,68.917,71.2,77.892,46.818,73.608,78.9,60.086
1992,69.024,71.407,78.06,47.062,73.727,79.1,58.608
1993,69.148,71.626,78.208,47.212,73.823,78.8,56.995
1994,69.286,71.858,78.341,47.291,73.915,79.0,55.313
1995,69.428,72.103,78.471,47.34,74.013,78.9,53.63
1996,69.553,72.358,78.7,47.413,74.114,79.1,52.002
1997,69.653,72.617,78.7,47.562,74.212,79.4,50.472
1998,69.729,72.878,79.1,47.823,74.304,79.5,49.087
1999,69.797,73.141,78.9,48.216,74.4,79.4,47.892
2000,69.891,73.405,79.2,48.752,74.512,79.3,46.905
2001,70.06,73.674,79.9,49.424,74.651,79.5,46.111
2002,70.33,73.951,80.4,50.192,74.827,79.6,45.494
2003,70.713,74.237,80.7,51.012,75.044,79.7,45.059
2004,71.2,74.535,81.1,51.855,75.306,80.1,44.846
2005,71.759,74.845,81.3,52.683,75.619,80.1,44.962
2006,72.346,75.17,81.7,53.461,75.981,80.3,45.535
2007,72.908,75.508,82.1,54.173,76.383,80.6,46.603
2008,73.402,75.855,82.4,54.812,76.815,80.6,48.14
2009,73.809,76.208,82.7,55.375,77.265,80.9,50.068
2010,74.123,76.566,83.1,55.871,77.725,81.0,52.239
2011,74.353,76.926,83.0,56.326,78.186,81.1,54.471
2012,74.531,77.284,83.1,56.769,78.64,81.2,56.578
2013,74.683,77.635,83.1,57.225,79.078,81.2,58.412
2014,74.823,77.972,83.5,57.7,79.49,81.3,59.892
2015,74.956,78.288,83.4,58.194,79.863,81.2,60.984
2016,75.088,78.574,83.6,58.695,80.189,81.1,61.719
2017,75.215,78.828,84.0,59.185,80.468,81.1,62.22
2018,75.336,79.051,84.1,59.649,80.704,81.1,62.598
