county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
albany,new york,1593599,46360.0,2021-02-12,36001,0.006,0.012,0.052000000000000005,0.142,0.7879999999999999
allegany,new york,184545,6736.0,2021-02-12,36003,0.062,0.015,0.028,0.124,0.7709999999999999
broome,new york,1060994,33563.0,2021-02-12,36007,0.044,0.028,0.051,0.066,0.812
cattaraugus,new york,263470,5452.0,2021-02-12,36009,0.015,0.013,0.024,0.156,0.7929999999999999
cayuga,new york,293258,3734.0,2021-02-12,36011,0.0,0.033,0.07200000000000001,0.162,0.732
chautauqua,new york,417253,4305.0,2021-02-12,36013,0.029,0.024,0.038,0.206,0.703
chemung,new york,499955,8808.0,2021-02-12,36015,0.012,0.046,0.092,0.256,0.594
chenango,new york,161285,3269.0,2021-02-12,36017,0.048,0.045,0.015,0.156,0.735
clinton,new york,155705,1912.0,2021-02-12,36019,0.017,0.024,0.102,0.084,0.773
columbia,new york,271835,14772.0,2021-02-12,36021,0.014,0.004,0.029,0.104,0.848
cortland,new york,209467,2830.0,2021-02-12,36023,0.001,0.062,0.015,0.118,0.8029999999999999
delaware,new york,91464,1770.0,2021-02-12,36025,0.057,0.053,0.034,0.112,0.7440000000000001
dutchess,new york,2106262,54585.0,2021-02-12,36027,0.006999999999999999,0.009000000000000001,0.031,0.099,0.8540000000000001
erie,new york,5528205,221447.0,2021-02-12,36029,0.018000000000000002,0.014,0.04,0.161,0.7659999999999999
essex,new york,81148,2515.0,2021-02-12,36031,0.05,0.05,0.057,0.107,0.736
franklin,new york,84100,884.0,2021-02-12,36033,0.026,0.027000000000000003,0.117,0.097,0.733
fulton,new york,185354,8013.0,2021-02-12,36035,0.078,0.015,0.06,0.118,0.7290000000000001
genesee,new york,285418,6141.0,2021-02-12,36037,0.001,0.017,0.015,0.187,0.7809999999999999
greene,new york,192625,5023.0,2021-02-12,36039,0.022,0.014,0.03,0.146,0.7879999999999999
hamilton,new york,12625,191.0,2021-02-12,36041,0.042,0.024,0.053,0.229,0.653
herkimer,new york,256764,4603.0,2021-02-12,36043,0.015,0.026,0.042,0.158,0.758
jefferson,new york,212135,1658.0,2021-02-12,36045,0.008,0.058,0.038,0.116,0.78
lewis,new york,98977,1945.0,2021-02-12,36049,0.069,0.036000000000000004,0.02,0.11,0.765
livingston,new york,203079,3459.0,2021-02-12,36051,0.011,0.034,0.009000000000000001,0.111,0.835
madison,new york,285878,5854.0,2021-02-12,36053,0.003,0.015,0.043,0.107,0.8320000000000001
monroe,new york,3877888,100428.0,2021-02-12,36055,0.018000000000000002,0.012,0.056,0.129,0.785
montgomery,new york,166517,5545.0,2021-02-12,36057,0.102,0.005,0.054000000000000006,0.09,0.7490000000000001
nassau,new york,17735504,732414.0,2021-02-12,36059,0.017,0.018000000000000002,0.043,0.142,0.779
new york city,new york,89861933,7112382.0,2021-02-12,,,,,,
niagara,new york,1070028,31292.0,2021-02-12,36063,0.001,0.028,0.037000000000000005,0.204,0.73
oneida,new york,1438679,43739.0,2021-02-12,36065,0.016,0.025,0.033,0.153,0.774
onondaga,new york,2557271,68666.0,2021-02-12,36067,0.019,0.008,0.054000000000000006,0.163,0.7559999999999999
ontario,new york,366601,10021.0,2021-02-12,36069,0.001,0.012,0.031,0.107,0.8490000000000001
orange,new york,4591274,128209.0,2021-02-12,36071,0.023,0.008,0.042,0.18,0.746
orleans,new york,182010,14451.0,2021-02-12,36073,0.001,0.033,0.059,0.213,0.693
oswego,new york,373634,4094.0,2021-02-12,36075,0.017,0.003,0.094,0.119,0.7659999999999999
otsego,new york,151235,2518.0,2021-02-12,36077,0.032,0.065,0.027000000000000003,0.096,0.779
putnam,new york,751225,19217.0,2021-02-12,36079,0.003,0.018000000000000002,0.022,0.105,0.852
rensselaer,new york,563398,15240.0,2021-02-12,36083,0.018000000000000002,0.018000000000000002,0.073,0.14,0.7509999999999999
rockland,new york,5639378,154724.0,2021-02-12,36087,0.011,0.018000000000000002,0.054000000000000006,0.195,0.722
saratoga,new york,712952,7085.0,2021-02-12,36091,0.02,0.012,0.062,0.156,0.7509999999999999
schenectady,new york,758026,16748.0,2021-02-12,36093,0.04,0.006999999999999999,0.051,0.06,0.841
schoharie,new york,67724,605.0,2021-02-12,36095,0.006999999999999999,0.02,0.04,0.108,0.825
schuyler,new york,56523,756.0,2021-02-12,36097,0.01,0.009000000000000001,0.071,0.239,0.67
seneca,new york,92060,2631.0,2021-02-12,36099,0.001,0.012,0.042,0.08199999999999999,0.8640000000000001
st. lawrence,new york,274626,4317.0,2021-02-12,36089,0.027000000000000003,0.029,0.095,0.149,0.701
steuben,new york,392159,17271.0,2021-02-12,36101,0.036000000000000004,0.031,0.057,0.201,0.674
suffolk,new york,18258702,622801.0,2021-02-12,36103,0.04,0.019,0.053,0.106,0.782
sullivan,new york,591717,10748.0,2021-02-12,36105,0.024,0.03,0.043,0.085,0.8170000000000001
tioga,new york,208421,8919.0,2021-02-12,36107,0.019,0.011,0.018000000000000002,0.114,0.8390000000000001
tompkins,new york,247025,1620.0,2021-02-12,36109,0.012,0.01,0.046,0.098,0.833
ulster,new york,952182,26166.0,2021-02-12,36111,0.014,0.023,0.045,0.1,0.818
warren,new york,190514,9121.0,2021-02-12,36113,0.026,0.018000000000000002,0.104,0.13,0.723
washington,new york,148069,4313.0,2021-02-12,36115,0.026,0.027000000000000003,0.135,0.138,0.6729999999999999
wayne,new york,283768,3705.0,2021-02-12,36117,0.001,0.016,0.061,0.132,0.789
westchester,new york,14239037,464171.0,2021-02-12,36119,0.025,0.018000000000000002,0.044,0.115,0.7979999999999999
wyoming,new york,155470,3082.0,2021-02-12,36121,0.001,0.024,0.008,0.107,0.861
yates,new york,63397,2327.0,2021-02-12,36123,0.0,0.006,0.023,0.087,0.884
