date,CPMNACNSAB1GQLU,LREPTTFELUQ156N,LREPTTMALUQ156N
1999-04-01,5183.3,32.132834424696,51.0699001426534
1999-07-01,5175.5,,
1999-10-01,5636.0,,
2000-01-01,5642.9,,
2000-04-01,5731.8,32.6306141154904,51.7469310670444
2000-07-01,5688.2,,
2000-10-01,6016.6,,
2001-01-01,5810.0,,
2001-04-01,5846.9,33.8665447897623,51.9383465670248
2001-07-01,5736.5,,
2001-10-01,6378.6,,
2002-01-01,6164.2,,
2002-04-01,6437.7,34.2727272727273,52.3920111472364
2002-07-01,6072.7,,
2002-10-01,6420.1,,
2003-01-01,6229.6,33.9597315436242,50.7067943456452
2003-04-01,6555.1,33.9597315436242,50.7067943456452
2003-07-01,6332.3,33.9597315436242,50.7067943456452
2003-10-01,7070.8,33.9597315436242,50.7067943456452
2004-01-01,6691.4,34.4474153297683,50.2035278154681
2004-04-01,6971.1,34.4474153297683,50.2035278154681
2004-07-01,6860.0,34.4474153297683,50.2035278154681
2004-10-01,7413.0,34.4474153297683,50.2035278154681
2005-01-01,7018.1,35.7300397000441,50.5159264244056
2005-04-01,7446.3,35.7300397000441,50.5159264244056
2005-07-01,7451.1,35.7300397000441,50.5159264244056
2005-10-01,8115.6,35.7300397000441,50.5159264244056
2006-01-01,8172.0,37.5,47.9913606911447
2006-04-01,8393.4,37.5,47.9913606911447
2006-07-01,8214.9,37.5,47.9913606911447
2006-10-01,9028.1,37.5,47.9913606911447
2007-01-01,8860.9,38.5980095196884,48.4602224123182
2007-04-01,9379.8,37.5328083989501,48.9570029799915
2007-07-01,9102.3,38.8189318280504,49.1901108269395
2007-10-01,9835.9,40.0693842150911,47.4605206999573
2008-01-01,9484.6,36.7716875269745,49.1341991341991
2008-04-01,9676.9,37.6897133220911,50.7024265644955
2008-07-01,9376.0,36.736437419906,50.2783725910064
2008-10-01,9591.1,36.9472789115646,48.2966796032773
2009-01-01,9016.5,38.8215628917677,50.75
2009-04-01,9078.1,38.1855670103093,52.7128547579299
2009-07-01,8987.1,38.7484459179445,52.2175732217573
2009-10-01,9894.7,38.4329896907216,51.328903654485
2010-01-01,9414.5,38.8888888888889,51.1111111111111
2010-04-01,10072.0,38.7713588283157,50.8822322527698
2010-07-01,9867.0,39.2332789559543,52.2679983354141
2010-10-01,10824.3,39.132197891322,51.741089717329
2011-01-01,10550.2,39.0331602077507,52.2298111691442
2011-04-01,10734.7,38.3660392470965,50.4410585404972
2011-07-01,10547.7,39.0380761523046,51.1226944667201
2011-10-01,11332.0,39.2842942345924,50.4205046055266
2012-01-01,10729.7,39.7820163487738,50.7218103784627
2012-04-01,11030.7,40.390625,51.6457680250784
2012-07-01,10678.0,41.2890625,51.6959064327485
2012-10-01,11673.6,40.8560311284047,52.0654715510522
2013-01-01,10935.7,41.156202143951,50.9021113243762
2013-04-01,11582.0,41.0058027079304,50.5760368663594
2013-07-01,11492.1,40.3921568627451,52.2903726708074
2013-10-01,12489.7,40.4271844660194,52.3846452113222
2014-01-01,12048.1,42.3340961098398,51.0614101592115
2014-04-01,12124.0,41.6030534351145,51.8560606060606
2014-07-01,12307.2,40.9666283084005,51.0289634146341
