date,CPMNACNSAB1GQNL,LREPTTFENLQ156N,LREPTTMANLQ156N
1999-04-01,104536.0,41.280875043126,56.6749161019475
1999-07-01,102986.0,,
1999-10-01,110928.0,,
2000-01-01,109154.0,41.8958574168879,56.976833976834
2000-04-01,113124.0,42.7087429129514,57.7214148967608
2000-07-01,110955.0,43.1699317436398,57.9326799733183
2000-10-01,118774.0,43.327348136159,58.2014241073716
2001-01-01,118182.0,43.42979,57.94763
2001-04-01,121417.0,43.88177,58.16363
2001-07-01,117448.0,44.00972,58.17752
2001-10-01,124834.0,44.06659,58.30196
2002-01-01,122569.0,44.07385,57.68861
2002-04-01,126495.0,44.30478,58.32355
2002-07-01,122746.0,44.83003,58.00819
2002-10-01,129327.0,44.77688,57.65923
2003-01-01,126435.0,44.5402,56.85165
2003-04-01,129110.0,44.42005,57.05926
2003-07-01,124858.0,44.5913,57.07246
2003-10-01,132407.0,44.20788,56.70244
2004-01-01,129524.0,44.03697,56.21459
2004-04-01,133599.0,44.219,56.43594
2004-07-01,129034.0,44.57389,56.56068
2004-10-01,137129.0,44.41626,56.1339
2005-01-01,133745.0,44.15808,55.68202
2005-04-01,139040.0,44.71148,56.13837
2005-07-01,134684.0,44.95017,56.33984
2005-10-01,143414.0,44.99532,56.2185
2006-01-01,142446.0,45.11707,56.22375
2006-04-01,147405.0,45.4788,56.75037
2006-07-01,142476.0,45.70667,57.13162
2006-10-01,152219.0,46.04541,57.33204
2007-01-01,151680.0,46.32168,57.21913
2007-04-01,155664.0,47.03048,57.77215
2007-07-01,150806.0,47.18995,58.09459
2007-10-01,161020.0,47.37674,57.82879
2008-01-01,159551.0,47.47655,57.70511
2008-04-01,164065.0,47.72839,58.37331
2008-07-01,158554.0,48.27202,58.3215
2008-10-01,165028.0,48.43629,58.61532
2009-01-01,156165.0,48.6512,58.13641
2009-04-01,157462.0,48.19461,57.95856
2009-07-01,151694.0,48.14606,57.70704
2009-10-01,159521.0,48.0408,57.38921
2010-01-01,155314.0,46.26498,55.77546
2010-04-01,162424.0,46.6386,55.87201
2010-07-01,156421.0,46.75587,55.9739
2010-10-01,165028.0,46.79908,55.79156
2011-01-01,160242.0,46.55542,55.16162
2011-04-01,165292.0,46.78073,55.10378
2011-07-01,158947.0,46.76702,55.56813
2011-10-01,165878.0,46.99421,55.59981
2012-01-01,160917.0,46.67229,55.33061
2012-04-01,166442.0,46.84496,55.38321
2012-07-01,158404.0,47.05353,55.34157
2012-10-01,167203.0,46.91376,55.00414
2013-01-01,161409.0,46.43199,54.3516
2013-04-01,168105.0,46.45111,54.35268
2013-07-01,161493.0,46.3878,54.39196
2013-10-01,169456.0,46.15522,54.29069
2014-01-01,164432.0,45.26543,53.8843
2014-04-01,169898.0,45.38835,54.22554
2014-07-01,163863.0,45.82097,54.54084
