county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
anderson,texas,770750,9017.0,2021-02-12,48001,0.172,0.104,0.095,0.08800000000000001,0.541
andrews,texas,179251,3369.0,2021-02-12,48003,0.09,0.044,0.067,0.202,0.597
angelina,texas,797079,22284.0,2021-02-12,48005,0.121,0.064,0.079,0.2,0.536
aransas,texas,97400,4006.0,2021-02-12,48007,0.006,0.005,0.17,0.07400000000000001,0.746
archer,texas,56141,603.0,2021-02-12,48009,0.081,0.053,0.099,0.091,0.6759999999999999
armstrong,texas,10851,450.0,2021-02-12,48011,0.08,0.066,0.116,0.25,0.488
atascosa,texas,376620,9588.0,2021-02-12,48013,0.001,0.01,0.032,0.156,0.802
austin,texas,149225,2279.0,2021-02-12,48015,0.006,0.024,0.054000000000000006,0.224,0.6920000000000001
bailey,texas,89677,1584.0,2021-02-12,48017,0.018000000000000002,0.106,0.06,0.217,0.598
bandera,texas,72076,2020.0,2021-02-12,48019,0.073,0.018000000000000002,0.07,0.09,0.7490000000000001
bastrop,texas,590803,7790.0,2021-02-12,48021,0.006999999999999999,0.02,0.084,0.161,0.7290000000000001
baylor,texas,19208,770.0,2021-02-12,48023,0.066,0.075,0.134,0.104,0.62
bee,texas,420654,7292.0,2021-02-12,48025,0.001,0.003,0.052000000000000005,0.19,0.753
bell,texas,1873645,25178.0,2021-02-12,48027,0.01,0.035,0.078,0.205,0.672
bexar,texas,17726638,304903.0,2021-02-12,48029,0.015,0.016,0.057,0.09,0.8220000000000001
blanco,texas,45224,1420.0,2021-02-12,48031,0.005,0.019,0.115,0.07400000000000001,0.7879999999999999
borden,texas,1366,19.0,2021-02-12,48033,0.039,0.115,0.125,0.107,0.614
bosque,texas,110234,2404.0,2021-02-12,48035,0.031,0.154,0.102,0.248,0.465
bowie,texas,543171,20295.0,2021-02-12,48037,0.058,0.134,0.114,0.221,0.473
brazoria,texas,3228654,40234.0,2021-02-12,48039,0.021,0.042,0.075,0.17,0.691
brazos,texas,2155468,22122.0,2021-02-12,48041,0.012,0.038,0.067,0.34700000000000003,0.537
brewster,texas,100064,1037.0,2021-02-12,48043,0.011,0.012,0.077,0.172,0.728
briscoe,texas,9728,335.0,2021-02-12,48045,0.105,0.077,0.113,0.187,0.518
brooks,texas,82130,4402.0,2021-02-12,48047,0.061,0.004,0.166,0.09,0.6779999999999999
brown,texas,340793,10561.0,2021-02-12,48049,0.085,0.077,0.066,0.239,0.534
burleson,texas,137330,2129.0,2021-02-12,48051,0.02,0.07200000000000001,0.071,0.281,0.555
burnet,texas,283286,4078.0,2021-02-12,48053,0.031,0.039,0.055,0.194,0.682
caldwell,texas,423467,8196.0,2021-02-12,48055,0.001,0.001,0.063,0.185,0.7509999999999999
calhoun,texas,200880,2070.0,2021-02-12,48057,0.019,0.028,0.179,0.071,0.703
callahan,texas,72981,2257.0,2021-02-12,48059,0.049,0.06,0.119,0.205,0.5670000000000001
cameron,texas,5236239,205192.0,2021-02-12,48061,0.035,0.061,0.034,0.056,0.813
camp,texas,113364,3334.0,2021-02-12,48063,0.017,0.064,0.213,0.235,0.471
carson,texas,26582,697.0,2021-02-12,48065,0.099,0.064,0.124,0.252,0.462
cass,texas,153245,6387.0,2021-02-12,48067,0.034,0.145,0.17,0.209,0.441
castro,texas,97740,2097.0,2021-02-12,48069,0.057,0.051,0.043,0.29600000000000004,0.5529999999999999
chambers,texas,419128,4080.0,2021-02-12,48071,0.027000000000000003,0.094,0.078,0.201,0.6
cherokee,texas,430994,9844.0,2021-02-12,48073,0.123,0.063,0.14800000000000002,0.192,0.475
childress,texas,115630,661.0,2021-02-12,48075,0.147,0.124,0.189,0.206,0.334
clay,texas,68454,1108.0,2021-02-12,48077,0.066,0.049,0.105,0.087,0.693
cochran,texas,24544,879.0,2021-02-12,48079,0.029,0.078,0.068,0.229,0.595
coke,texas,38414,1301.0,2021-02-12,48081,0.039,0.056,0.093,0.241,0.5720000000000001
coleman,texas,44470,1626.0,2021-02-12,48083,0.053,0.048,0.084,0.259,0.556
collin,texas,6078898,54651.0,2021-02-12,48085,0.021,0.026,0.054000000000000006,0.181,0.7190000000000001
collingsworth,texas,17968,428.0,2021-02-12,48087,0.239,0.142,0.17600000000000002,0.16,0.284
colorado,texas,145608,1588.0,2021-02-12,48089,0.004,0.044,0.078,0.228,0.645
comal,texas,969488,28768.0,2021-02-12,48091,0.006999999999999999,0.044,0.063,0.146,0.74
comanche,texas,111232,2752.0,2021-02-12,48093,0.045,0.075,0.059,0.2,0.621
concho,texas,29512,466.0,2021-02-12,48095,0.012,0.029,0.07200000000000001,0.279,0.607
cooke,texas,239528,3550.0,2021-02-12,48097,0.118,0.026,0.056,0.207,0.594
coryell,texas,534282,4386.0,2021-02-12,48099,0.015,0.027000000000000003,0.142,0.194,0.622
cottle,texas,15048,848.0,2021-02-12,48101,0.107,0.106,0.188,0.17600000000000002,0.423
crane,texas,48525,1532.0,2021-02-12,48103,0.08,0.056,0.096,0.199,0.57
crockett,texas,58494,1578.0,2021-02-12,48105,0.026,0.071,0.07200000000000001,0.225,0.606
crosby,texas,39775,2254.0,2021-02-12,48107,0.031,0.071,0.058,0.227,0.613
culberson,texas,30936,617.0,2021-02-12,48109,0.125,0.006,0.039,0.17600000000000002,0.654
dallam,texas,77416,2536.0,2021-02-12,48111,0.119,0.07400000000000001,0.123,0.289,0.396
dallas,texas,28230095,332635.0,2021-02-12,48113,0.024,0.019,0.059,0.141,0.757
dawson,texas,183034,5737.0,2021-02-12,48115,0.03,0.023,0.07400000000000001,0.115,0.759
deaf smith,texas,344251,8140.0,2021-02-12,48117,0.063,0.063,0.095,0.284,0.494
delta,texas,16809,328.0,2021-02-12,48119,0.04,0.07400000000000001,0.094,0.285,0.507
denton,texas,5019830,50631.0,2021-02-12,48121,0.016,0.025,0.046,0.204,0.7090000000000001
dewitt,texas,239282,8098.0,2021-02-12,48123,0.003,0.019,0.091,0.061,0.8270000000000001
dickens,texas,14271,721.0,2021-02-12,48125,0.032,0.071,0.111,0.254,0.532
dimmit,texas,91604,1760.0,2021-02-12,48127,0.021,0.059,0.097,0.133,0.69
donley,texas,30845,647.0,2021-02-12,48129,0.139,0.065,0.147,0.21,0.439
duval,texas,121058,4070.0,2021-02-12,48131,0.122,0.003,0.132,0.053,0.691
eastland,texas,87908,2012.0,2021-02-12,48133,0.055,0.08900000000000001,0.104,0.195,0.557
ector,texas,1642321,30280.0,2021-02-12,48135,0.085,0.047,0.076,0.204,0.588
edwards,texas,21259,360.0,2021-02-12,48137,0.016,0.047,0.145,0.101,0.691
el paso,texas,12498695,207671.0,2021-02-12,48141,0.006999999999999999,0.006999999999999999,0.033,0.075,0.877
ellis,texas,1671139,23831.0,2021-02-12,48139,0.027000000000000003,0.017,0.044,0.19,0.722
erath,texas,339728,4364.0,2021-02-12,48143,0.017,0.096,0.075,0.202,0.609
falls,texas,147605,2163.0,2021-02-12,48145,0.009000000000000001,0.029,0.061,0.187,0.715
fannin,texas,242752,6828.0,2021-02-12,48147,0.117,0.126,0.131,0.226,0.4
fayette,texas,165875,5481.0,2021-02-12,48149,0.006,0.05,0.259,0.142,0.5429999999999999
fisher,texas,28020,1042.0,2021-02-12,48151,0.097,0.097,0.109,0.18600000000000005,0.51
floyd,texas,57769,2875.0,2021-02-12,48153,0.049,0.063,0.043,0.21600000000000005,0.629
foard,texas,7256,408.0,2021-02-12,48155,0.045,0.101,0.23,0.147,0.477
fort bend,texas,5225928,68896.0,2021-02-12,48157,0.024,0.03,0.057,0.115,0.774
franklin,texas,57789,1817.0,2021-02-12,48159,0.013,0.055,0.131,0.327,0.474
freestone,texas,126211,2263.0,2021-02-12,48161,0.025,0.121,0.085,0.13699999999999998,0.632
frio,texas,260004,2417.0,2021-02-12,48163,0.136,0.006999999999999999,0.038,0.108,0.71
gaines,texas,146283,3283.0,2021-02-12,48165,0.121,0.034,0.033,0.17600000000000002,0.636
galveston,texas,3460068,40530.0,2021-02-12,48167,0.033,0.037000000000000005,0.105,0.207,0.617
garza,texas,35548,1971.0,2021-02-12,48169,0.034,0.079,0.067,0.207,0.612
gillespie,texas,157758,3010.0,2021-02-12,48171,0.095,0.091,0.107,0.114,0.5920000000000001
glasscock,texas,8038,89.0,2021-02-12,48173,0.069,0.054000000000000006,0.058,0.234,0.586
goliad,texas,40705,1336.0,2021-02-12,48175,0.001,0.025,0.16,0.077,0.737
gonzales,texas,274843,4484.0,2021-02-12,48177,0.001,0.001,0.091,0.078,0.828
gray,texas,192223,3858.0,2021-02-12,48179,0.139,0.069,0.134,0.222,0.436
grayson,texas,862996,20730.0,2021-02-12,48181,0.064,0.063,0.095,0.247,0.53
gregg,texas,958774,23255.0,2021-02-12,48183,0.053,0.064,0.07400000000000001,0.18600000000000005,0.623
